Retail;Enseña;CIUDAD;PROVINCIA;DIRECCIÓN CENTRO;LATITUD;LONGITUD
A;A;SANT ANDREU DE LA BARCA;BARCELONA;CRTA. NACIONAL II, KM 593 (SECTOR 21 - C. ST. ANDREU PARC);41.4531096;1.9698076
A;A;VILADECANS;BARCELONA;AVDA. DEL MOLI, 31;41.3218019;2.0116959
A;A;PRAT LLOBREGAT;BARCELONA;CARRETERA MARINA, 18;41.3279974;2.0992662
A;A;ESPLUGUES;BARCELONA;VERGE MERCÈ, S/N;41.3729514;2.0990533
A;A;VALLIRANA;BARCELONA;MAJOR, 200;41.3899342;1.9363505
A;A;S.JOAN DESPI;BARCELONA;AVDA. BARCELONA, S/N;41.361832;2.056686
A;A;CORNELLA;BARCELONA;AVDA. MIRANDA, 81;41.3601115;2.0791309
A;A;SANT JOAN DESPI;BARCELONA;BON VIATGE, 11;41.3662366;2.0574438
A;A;LLEIDA;LLEIDA;ONZE DE SETEMBRE, S/N;41.6220449;0.6104866
A;A;GOLMES;LLEIDA;POLÍGON IND. GOLPARK NII KM486;41.6324739;0.9322549
A;A;LES BORGES BLANQUES;LLEIDA;PASSEIG DEL TERRALL, 16-18;41.5193018;0.8663684
A;A;BARCELONA;BARCELONA;INDUSTRIA, 90-94;41.4083076;2.1720423
A;A;BARCELONA;BARCELONA;SICILIA, 406-408;41.4066077;2.1671542
A;A;BARCELONA;BARCELONA;PALENCIA, 13 - 21;41.4174376;2.189209
A;A;BARCELONA;BARCELONA;CASTILLEJOS 320;41.4092651;2.1748694
A;A;BARCELONA;BARCELONA;CARRETERA ANTIGA DE MATARO, 20-20 BIS;41.3923648;2.1886773
A;A;BARCELONA;BARCELONA;RICARDO VILLA, 2 (AVDA SARRIÀ);41.3923981;2.1331712
A;A;BARCELONA;BARCELONA;VERDI, 214 (MERCAT DE LESSEPS);41.4089783;2.1520486
A;A;BARCELONA;BARCELONA;ENCARNACIÓ, 86-88;41.4073899;2.1617338
A;A;BARCELONA;BARCELONA;GANDUXER, 14-16;41.3926716;2.1390643
A;A;BARCELONA;BARCELONA;FABRA I PUIG, 166-182;41.4303752;2.1797726
A;A;BARCELONA;BARCELONA;ANTONI COSTA CUIXART,23 (AV. BORBÓ);41.4278255;2.1748419
A;A;BARCELONA;BARCELONA;CARTELLÀ, 87-89;41.4283098;2.1699332
A;A;BARCELONA;BARCELONA;CÒRSEGA, 301;41.3949486;2.1569816
A;A;BARCELONA;BARCELONA;VILLARROEL 194-196;41.3912224;2.1490673
A;A;BARCELONA;BARCELONA;COMTE BORRELL, 218;41.3862735;2.15102
A;A;BARCELONA;BARCELONA;GRAN DE SANT ANDREU, 140;41.4315261;2.1895085
A;A;BARCELONA;BARCELONA;TRAVESSERA DE LES CORTS, 373;41.3903649;2.140567
A;A;BARCELONA;BARCELONA;GRAN DE SANT ANDREU, 456-462;41.4415599;2.1883922
A;A;BARCELONA;BARCELONA;PASSEIG VALLDAURA, 218-220;41.4379887;2.1738311
A;A;BARCELONA;BARCELONA;JOSEP TARRADELLAS, 114;41.3896144;2.1437406
A;A;BARCELONA;BARCELONA;BIGAI, 6;41.4050308;2.1327943
A;A;STA. COLOMA GRAM.;BARCELONA;AV. GENERALITAT, 44-46;41.449064;2.2100251
A;A;BARCELONA;BARCELONA;DESCARTES, 26-28 (SANTALÓ);41.3990655;2.1411548
A;A;BARCELONA;BARCELONA;CALVET, 41-45;41.395523;2.1421416
A;A;BARCELONA;BARCELONA;REINA ELISENDA, 9-11;41.3991672;2.1199469
A;A;BARCELONA;BARCELONA;MUNTANER, 470-474;41.4023879;2.1388054
A;A;BARCELONA;BARCELONA;SANTS, 71;41.3751839;2.1373698
A;A;L'HOSPITALET;BARCELONA;SANTA EULALIA 135;41.366518;2.1240432
A;A;BARCELONA;BARCELONA;OCCIDENT, 18-22 (COLLBLANC);41.3749513;2.1196628
A;A;BARCELONA;BARCELONA;AVINGUDA MADRID, 5-7 (COLLBLANC);41.3760686;2.1230911
A;A;L´HOSPITALET;BARCELONA;NTRA. SRA. BELLVITGE, 40-42;41.3520453;2.1087691
A;A;BARCELONA;BARCELONA;ST.ANTONI MARIA CLARET, 318;41.4147296;2.1793226
A;A;LA ROCA DEL VALLES;BARCELONA;ROQUEROL C/ SANT SADURNI;41.5891149;2.3242037
A;A;LES FRANQUESES;BARCELONA;CRTA. DE RIBES ESQ. PUIGSACALM Y FUSTER GORDI 52-54.;41.6299305;2.295408
A;A;ALP;GIRONA;PARCEL.LA A, SECTOR SUB-8;42.3728449;1.886116
A;A;GRANOLLERS;BARCELONA;MARE DÉU DE NÚRIA, S/N;41.6061927;2.2870889
A;A;PUIGCERDA;GIRONA;CLAUSTRE, 3-5;42.4331408;1.9280514
A;A;CERDANYOLA DEL VALLES;BARCELONA;AVINGUDA DE CATALUNYA 25-27;41.4926435;2.1457075
A;A;MATARO;BARCELONA;NICOLAU GUANYABENS, 29;41.5493614;2.4428524
A;A;MONTCADA I REIXACH;BARCELONA;PASSEIG JAUME I, 36;41.4821883;2.1891825
A;A;PREMIA;BARCELONA;GRAN VIA, 117;41.4946642;2.3591531
A;A;MASNOU;BARCELONA;ALMERÍA, 19;41.486495;2.3085102
A;A;ALELLA;BARCELONA;RIERA FOSCA, 12;41.4930368;2.2942343
A;A;MATARO;BARCELONA;AVDA. JAUME RECADER, 12;41.5349304;2.4423736
A;A;LES PRESES;GIRONA;CTRA NACIONAL 152 CRUILLA SANT MIQUEL DEL CORB;42.14391;2.4849899
A;A;GIRONA;GIRONA;SANTA EUGÈNIA, 120;41.9781268;2.8082532
A;A;CASSA;GIRONA;FRATERNITAT, S/N;41.8897768;2.8727919
A;A;GIRONA;GIRONA;SÈQUIA, 9;41.9833273;2.8206019
A;A;MANLLEU;BARCELONA;AVDA. DOCTOR OLIVERES, 118;42.0009473;2.2801995
A;A;CALONGE;GIRONA;AVDA CATALUNYA, 61;41.8492308;3.1079964
A;A;PLATJA D´ARO;GIRONA;CARRETERA DE SANT FELIU DE GUIXOLS, S/N;41.821796;3.0651328
A;A;LLORET;GIRONA;CARRETERA DE TOSSA, 100;41.7794569;3.0217604
A;A;ROSES;GIRONA;AV. PAU CASALS, S/N;42.2559378;3.073384
A;A;CALELLA;BARCELONA;TURISME, 53;41.6257519;2.6437438
A;A;BLANES;GIRONA;MURALLA, 5;41.6730522;2.7905975
A;A;BLANES;GIRONA;CRISTOBAL COLON, 32;41.6759103;2.7899934
A;A;TOSSA DE MAR;GIRONA;AVDA. FERRAN AGULLÓ CANTONADA CALAFAT;41.7228357;2.9309814
A;A;TERRASSA;BARCELONA;PASSEIG VINT-I-DOS DE JULIOL, 873;41.5678236;2.0402328
A;A;SABADELL;BARCELONA;SOL I PADRÍS, 100;41.5365584;2.1188559
A;A;TERRASSA;BARCELONA;HISPANITAT, 3;41.5706714;2.0021094
A;A;OLESA;BARCELONA;FRANCESC MACIÀ, 101-103;41.5425415;1.8921086
A;A;ESPARRAGUERA;BARCELONA;FONT DEL VIDAL, 24;41.5349994;1.8716474
A;A;PIERA;BARCELONA;PIERETA, 52;41.5230775;1.7546582
A;A;LA RAPITA;TARRAGONA;DEL FAR, S/N;40.6093159;0.5835966
A;A;AMPOSTA;TARRAGONA;CTRA. SANTA BÀRBARA, KM 1;40.7034665;0.5674965
A;A;EL VENDRELL;TARRAGONA;DEL TER, S/N;41.2183398;1.5508297
A;A;REUS;TARRAGONA;P. PRIM, S/N (FONT DE RUBINAT);41.1519502;1.1002206
A;A;TORREDEMBARRA;TARRAGONA;BARCELONA, S/N;41.1467533;1.3999969
A;A;SITGES;BARCELONA;PEP DEN GARRAF 2;41.2366126;1.8159709
A;A;SITGES;BARCELONA;EIX 2, PARCEL.LA 15 (POLÍGON MAS ALBA);41.2496962;1.8072072
A;A;IGUALADA;BARCELONA;AVINGUDA DR. PASTEUR, 10-14;41.587088;1.613259
A;A;CASTELLDEFELS;BARCELONA;AVDA.CONSTITUCIÓ, 101;41.279933;1.9798119
A;A;GAVA;BARCELONA;AUTOVIA CASTELLDEFELS, KM15.700;41.2915573;2.0509033
A;A;VILADECANS;BARCELONA;MARE DÉU DE MONTSERRAT, 119;41.3386713;2.0433741
A;A;SANT BOI;BARCELONA;PINTOR MARIA FORTUNY, 34-38;41.342236;2.039529
A;A;VILADECANS;BARCELONA;RIERA DE SANT LLORENÇ 44-46;41.3088705;2.0055086
A;A;MOLINS DE REI;BARCELONA;RAFAEL CASANOVA, S/N. MERCAT MUNICIPAL;41.4118557;2.0168257
A;A;CORNELLA;BARCELONA;MARCELINO MENENDEZ PELAYO (MERCAT CENTRE);41.353288;2.0714592
A;A;CORNELLA;BARCELONA;VISTALEGRE, 39-43;41.3621125;2.0749796
A;A;SANT JUST;BARCELONA;MIQUEL REVERTER, 11;41.3849006;2.0735547
A;A;BALAGUER;LLEIDA;URGELL, 61;41.7916168;0.8150054
A;A;TARREGA;LLEIDA;CARRASCO I FORMIGUERA, S/N;41.6519888;1.1483059
A;A;TARREGA;LLEIDA;PLAÇA EL.LIPTICA, S/N;41.6480797;1.1409432
A;A;TREMP;LLEIDA;LLEIDA, 11;42.165673;0.893537
A;A;ALCARRAS;LLEIDA;MAJOR, 91;41.5641385;0.52641
A;A;LA POBLA DE SEGUR;LLEIDA;AVDA. PIRINEOS, S/N;42.2505731;0.9673591
A;A;SOLSONA;LLEIDA;CTRA. DE TORÀ, 34;41.9919367;1.5122922
A;B;BARCELONA;BARCELONA;Calle Hondures, 74-76;41.4218546;2.1874718
A;B;BARCELONA;BARCELONA;Calle Ribes, 29;41.3949189;2.1815351
A;B;EL PRAT DE LLOBREGAT;BARCELONA;Carrer Enric Borras, 33;41.3314967;2.0979516
A;B;BARCELONA;BARCELONA;Calle Rocafort, 235-237;41.3850875;2.1452544
A;B;BARCELONA;BARCELONA;Avda. Gran Vía de les Corts Catalanes, 798;41.4001522;2.1836534
A;B;EL PRAT DE LLOBREGAT;BARCELONA;Carrer Tossa de Mar, 9;41.3205718;2.0972076
A;B;EL PRAT DE LLOBREGAT;BARCELONA;Calle Coronel Sanfeliu, 7-9;41.3252704;2.0945341
A;B;EL PRAT DE LLOBREGAT;BARCELONA;Avenida Pompeu Fabra, 12;41.3225088;2.0916189
A;B;EL PRAT DE LLOBREGAT;BARCELONA;Carretera Marina, 79;41.3236898;2.1027553
A;B;BARCELONA;BARCELONA;Calle Concepció Arenal, 257;41.4317615;2.1843159
A;B;BARCELONA;BARCELONA;Avenida de la República Argentina, 30-32;41.4086227;2.1472956
A;B;BARCELONA;BARCELONA;Calle Santaló, 13;41.3949147;2.1466274
A;B;ANDORRA;ANDORRA;Carrer de les Costes de Giberga;42.5456929;1.5225608
A;B;ESCALDES-ENGORDANY;ANDORRA;Avenida Carlemany, 68;42.5088353;1.5346179
A;B;ANDORRA LA VELLA;ANDORRA;Avenida Meritxel, 92;42.5080655;1.5303197
A;B;ENCAMP;ANDORRA;Avenida Joan Marti, 63;42.5328069;1.5773898
A;B;ANDORRA LA VELLA;ANDORRA;Calle Prat De La Creu, 56;42.506597;1.5227598
A;B;BARCELONA;BARCELONA;Carrer Nou de la Rambla, 157;41.3723214;2.1673958
A;B;BARCELONA;BARCELONA;Rambla de Pueblo Nuevo, 38;41.3977365;2.2015347
A;B;BARCELONA;BARCELONA;Calderón de la Barca, 66;41.4211455;2.1557239
